# CATH_ID	S35_REPS	DOMAINS	NAME
1.10.8.10	74	315	DNA helicase RuvA subunit, C-terminal domain
1.10.8.20	5	23	N-terminal domain of phosphatidylinositol transfer protein sec14p
1.10.8.40	2	15	Albumin-binding domain
1.10.8.50	14	516	
1.10.8.60	56	702	
1.10.8.70	6	35	
1.10.8.80	2	37	
1.10.8.100	9	42	
1.10.8.110	2	15	Photosystem I PsaF, reaction centre subunit III
1.10.8.130	2	8	
1.10.8.140	4	6	PDCD5-like
1.10.8.160	1	4	DNA primase S; domain 2
1.10.8.190	1	19	Carbon monoxide dehydrogenase alpha subunit. Chain M, domain 1
1.10.8.200	1	3	Replisome organizer (g39p helicase loader/inhibitor protein)
1.10.8.210	1	6	Sirohaem synthase, dimerisation domain
1.10.8.240	1	10	CofD-like domain
1.10.8.250	1	1	DNA polymerase III clamp loader domain like
1.10.8.260	2	2	HI0933 insert domain-like
1.10.8.270	3	10	putative rabgap domain of human tbc1 domain family member 14 like domains
1.10.8.280	3	18	ABC transporter ATPase domain-like
1.10.8.290	1	1	uncharacterized protein sp1917 domain
1.10.8.300	2	2	putative atpase (yp_676785.1)
1.10.8.330	1	1	PG0816-like
1.10.8.340	1	1	PG0816-like
1.10.8.350	1	9	Bacterial muramidase
1.10.8.360	2	3	3,6-anhydro-alpha-l-galactosidase
1.10.8.370	1	5	
1.10.8.380	2	4	
1.10.8.390	1	4	
1.10.8.400	1	12	
1.10.8.410	1	1	
1.10.8.420	2	11	
1.10.8.430	1	6	
1.10.8.440	1	11	
1.10.8.450	1	4	
1.10.8.460	1	1	
1.10.8.470	1	1	
1.10.8.480	1	4	
1.10.8.490	1	16	
1.10.8.500	2	34	
1.10.8.510	1	8	
1.10.8.520	1	3	
1.10.8.530	1	1	
1.10.8.540	1	2	
1.10.8.550	2	3	
1.10.8.560	1	4	
1.10.8.570	1	2	
1.10.8.580	1	10	
1.10.8.590	2	4	
1.10.8.600	1	12	
1.10.8.610	1	2	
1.10.8.620	1	12	
1.10.8.630	1	25	
1.10.8.640	1	2	
1.10.8.650	1	1	
1.10.8.660	1	1	
1.10.8.670	1	5	
1.10.8.680	1	7	
1.10.8.700	1	4	
1.10.8.710	2	12	
1.10.8.720	2	12	
1.10.8.730	1	8	
1.10.8.740	1	8	
1.10.8.750	1	8	
1.10.8.760	1	1	
1.10.8.770	1	1	
1.10.8.780	1	22	
1.10.8.790	1	7	
1.10.8.800	1	1	
1.10.8.810	1	2	
1.10.8.820	1	2	
1.10.8.830	1	1	
1.10.8.840	2	2	
1.10.8.850	1	1	
1.10.8.860	1	2	
1.10.8.870	3	14	
1.10.8.880	1	2	
1.10.8.890	1	1	
1.10.8.900	1	4	
1.10.8.910	1	3	
1.10.8.920	1	2	
1.10.8.930	1	2	
1.10.8.940	1	3	
1.10.8.950	2	65	
1.10.8.960	1	4	
1.10.8.970	1	14	
1.10.8.980	1	3	
1.10.8.990	1	1	
1.10.8.1000	1	24	
1.10.8.1010	1	1	
1.10.8.1020	1	3	
1.10.8.1030	1	2	
1.10.8.1040	1	1	
1.10.8.1050	1	3	
1.10.8.1060	1	2	
1.10.8.1070	1	3	
1.10.8.1080	2	15	
1.10.8.1090	1	3	
1.10.8.1100	1	1	
1.10.8.1110	1	3	
1.10.8.1120	1	5	
1.10.8.1130	1	2	
1.10.8.1140	1	4	
1.10.8.1150	1	2	
1.10.8.1160	1	9	
1.10.8.1170	1	2	
1.10.8.1180	1	5	
1.10.8.1190	2	24	
1.10.8.1200	1	1	
1.10.8.1210	4	38	
1.10.8.1220	1	2	
1.10.8.1230	2	84	
1.10.8.1240	1	6	
1.10.8.1250	1	2	
1.10.8.1260	1	4	
1.10.8.1270	1	2	
1.10.8.1280	1	2	
1.10.8.1290	1	1	
1.10.8.1310	1	6	
1.10.10.10	509	3160	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
1.10.10.41	2	17	Yeast DNA topoisomerase - domain 1
1.10.10.60	174	1091	Homeodomain-like
1.10.10.140	1	62	Cytochrome c oxidase, subunit VIb
1.10.10.160	5	31	
1.10.10.180	2	47	
1.10.10.190	2	2	
1.10.10.200	5	61	
1.10.10.250	5	186	Ribosomal protein L11, C-terminal domain
1.10.10.350	7	38	
1.10.10.370	1	14	
1.10.10.390	2	6	
1.10.10.400	6	34	Polyribonucleotide nucleotidyltransferase, RNA-binding domain
1.10.10.410	2	3	
1.10.10.430	1	9	Phosphatase 2C, C-terminal domain suprefamily
1.10.10.440	13	22	FF domain
1.10.10.450	1	18	
1.10.10.460	2	19	Ribonuclease hii. Domain 2
1.10.10.470	1	2	Maltooligosyl trehalose synthase; domain 4
1.10.10.480	1	4	Phosphofructokinase; domain 3
1.10.10.490	1	3	Beta-catenin-interacting ICAT
